service,min_correlation,max_correlation,mean_correlation,median_correlation,abs_mean_correlation
atm,-0.3517083505201922,0.3919647479510927,0.00960382818446243,0.0015636580687443617,0.15368771247914165
campusprinterterminal,-0.16436134586529774,0.31438641607442,0.08354492772602037,0.08747438732842686,0.11781924529013214
chatgpt,-0.47165314802784564,0.34131860559063215,0.017866972737015405,0.019280455734310222,0.1676760997414439
dbnavigator,-0.3277546354625193,0.28969880849730856,-0.0684249066882528,-0.057530674964041434,0.1504842958497685
excel,-0.3781279351225578,0.4536157747610197,0.0694087825937411,0.04113689762066797,0.14877002008776394
facebook,-0.48454371185234885,0.420797674109336,0.0332226224684833,0.07084982037613832,0.1674627318605425
gemini,-0.5378528742004771,0.35935731045298996,0.00834430237511152,0.032033994867907215,0.1321469129636324
gmail,-0.29199855803537256,0.5633325187213754,0.10489319092549465,0.09648753080837012,0.16276932678806277
googlemaps,-0.27332973680455075,0.4164614595969836,0.04418463416051142,0.04508121935817347,0.13717037482631345
instagram,-0.3624358285390281,0.3633727485218909,0.004122539383703852,0.02359679212550619,0.16348389819994788
moodlelms,-0.21192042332068065,0.5458795619218867,0.12494874831476466,0.12403200873081124,0.1736615887222585
nintendoswitch,-0.40040377590712567,0.4836659829043881,0.017133685962268476,0.034135534059751074,0.17968974009598632
snapchat,-0.4157042384148169,0.33307374233514053,-0.045101974010026795,-0.05314561874333257,0.16645447316689163
spotify,-0.2604451915640703,0.36395282288762887,0.012453610731886134,0.02165301600210002,0.12301423402018989
supermarket,-0.295555259369619,0.3552798562032138,0.021330731710095856,0.018548041432564617,0.14020563139411713
youtube,-0.532949041995819,0.41475731282928285,0.06491234154766902,0.10504271540823387,0.17905909186586028
