warm,user-intentioned,trustworthy,competent,capable
highly applicable,highly applicable,neutral,highly applicable,highly applicable
highly applicable,highly applicable,neutral,highly applicable,highly applicable
highly applicable,highly applicable,neutral,highly applicable,highly applicable
highly applicable,highly applicable,neutral,highly applicable,highly applicable
highly applicable,highly applicable,neutral,highly applicable,highly applicable
neutral,highly applicable,neutral,highly applicable,neutral
highly applicable,highly applicable,highly applicable,highly applicable,highly applicable
highly applicable,highly applicable,does not apply,neutral,highly applicable
highly applicable,neutral,neutral,neutral,highly applicable
highly applicable,highly applicable,neutral,neutral,highly applicable
highly applicable,highly applicable,neutral,highly applicable,highly applicable
does not apply,neutral,neutral,neutral,does not apply
highly applicable,highly applicable,highly applicable,highly applicable,highly applicable
highly applicable,highly applicable,applicable,highly applicable,highly applicable
neutral,neutral,neutral,neutral,neutral
highly applicable,highly applicable,highly applicable,highly applicable,highly applicable
neutral,neutral,neutral,neutral,neutral
highly applicable,highly applicable,neutral,highly applicable,highly applicable
highly applicable,highly applicable,highly applicable,highly applicable,highly applicable
highly applicable,highly applicable,neutral,neutral,neutral
highly applicable,neutral,neutral,highly applicable,
highly applicable,highly applicable,does not apply,highly applicable,neutral
highly applicable,highly applicable,highly applicable,highly applicable,highly applicable
highly applicable,highly applicable,neutral,highly applicable,highly applicable
highly applicable,neutral,neutral,neutral,neutral
