warm,user-intentioned,trustworthy,competent,capable
neutral,does not apply,neutral,neutral,neutral
does not apply,does not apply,does not apply,neutral,neutral
does not apply,does not apply,does not apply,neutral,neutral
highly applicable,highly applicable,highly applicable,highly applicable,highly applicable
does not apply,does not apply,does not apply,highly applicable,highly applicable
does not apply,does not apply,does not apply,neutral,neutral
neutral,does not apply,does not apply,neutral,neutral
highly applicable,highly applicable,highly applicable,highly applicable,highly applicable
does not apply,does not apply,neutral,neutral,does not apply
highly applicable,highly applicable,highly applicable,highly applicable,highly applicable
does not apply,does not apply,does not apply,highly applicable,highly applicable
does not apply,neutral,does not apply,highly applicable,does not apply
does not apply,does not apply,does not apply,does not apply,does not apply
neutral,neutral,neutral,neutral,neutral
highly applicable,highly applicable,highly applicable,highly applicable,highly applicable
highly applicable,highly applicable,highly applicable,highly applicable,highly applicable
neutral,neutral,neutral,neutral,neutral
neutral,does not apply,highly applicable,highly applicable,highly applicable
highly applicable,highly applicable,highly applicable,highly applicable,highly applicable
does not apply,does not apply,does not apply,highly applicable,neutral
does not apply,does not apply,does not apply,highly applicable,does not apply
does not apply,does not apply,does not apply,neutral,neutral
neutral,neutral,neutral,neutral,neutral
does not apply,does not apply,does not apply,does not apply,neutral
does not apply,does not apply,does not apply,does not apply,does not apply
