warm,user-intentioned,trustworthy,competent,capable
neutral,highly applicable,applicable,neutral,neutral
neutral,highly applicable,applicable,highly applicable,neutral
neutral,highly applicable,applicable,highly applicable,neutral
highly applicable,highly applicable,highly applicable,highly applicable,highly applicable
neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral
highly applicable,neutral,neutral,highly applicable,neutral
neutral,does not apply,does not apply,does not apply,does not apply
neutral,highly applicable,neutral,highly applicable,
highly applicable,highly applicable,neutral,neutral,neutral
highly applicable,highly applicable,applicable,highly applicable,neutral
neutral,highly applicable,does not apply,highly applicable,highly applicable
neutral,highly applicable,applicable,neutral,neutral
neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral
highly applicable,neutral,neutral,highly applicable,neutral
highly applicable,highly applicable,neutral,neutral,neutral
highly applicable,highly applicable,applicable,highly applicable,neutral
highly applicable,highly applicable,highly applicable,highly applicable,neutral
neutral,neutral,neutral,neutral,neutral
highly applicable,highly applicable,applicable,highly applicable,neutral
highly applicable,highly applicable,applicable,highly applicable,neutral
