warm,user-intentioned,trustworthy,competent,capable
applicable,applicable,applicable,highly applicable,highly applicable
neutral,neutral,does not apply,neutral,highly applicable
neutral,neutral,neutral,neutral,neutral
highly applicable,highly applicable,highly applicable,highly applicable,highly applicable
highly applicable,,does not apply,neutral,highly applicable
neutral,neutral,does not apply,neutral,highly applicable
highly applicable,highly applicable,highly applicable,highly applicable,highly applicable
highly applicable,highly applicable,highly applicable,highly applicable,highly applicable
highly applicable,,neutral,does not apply,highly applicable
highly applicable,highly applicable,highly applicable,neutral,highly applicable
neutral,neutral,highly applicable,highly applicable,highly applicable
does not apply,highly applicable,does not apply,neutral,does not apply
highly applicable,highly applicable,does not apply,does not apply,highly applicable
highly applicable,highly applicable,neutral,highly applicable,highly applicable
highly applicable,highly applicable,highly applicable,highly applicable,highly applicable
highly applicable,highly applicable,highly applicable,highly applicable,highly applicable
neutral,neutral,neutral,neutral,neutral
highly applicable,highly applicable,does not apply,does not apply,highly applicable
highly applicable,highly applicable,neutral,highly applicable,highly applicable
highly applicable,highly applicable,neutral,does not apply,highly applicable
applicable,highly applicable,neutral,does not apply,highly applicable
neutral,highly applicable,highly applicable,does not apply,highly applicable
highly applicable,highly applicable,highly applicable,highly applicable,highly applicable
applicable,highly applicable,neutral,does not apply,highly applicable
applicable,highly applicable,neutral,does not apply,highly applicable
