warm,user-intentioned,trustworthy,competent,capable
applicable,applicable,applicable,applicable,applicable
highly applicable,highly applicable,does not apply,highly applicable,does not apply
neutral,neutral,neutral,neutral,neutral
highly applicable,highly applicable,does not apply,highly applicable,highly applicable
highly applicable,does not apply,does not apply,neutral,neutral
highly applicable,highly applicable,neutral,neutral,neutral
highly applicable,highly applicable,does not apply,neutral,neutral
does not apply,highly applicable,does not apply,highly applicable,highly applicable
neutral,highly applicable,does not apply,neutral,neutral
neutral,neutral,neutral,neutral,neutral
highly applicable,highly applicable,highly applicable,highly applicable,highly applicable
does not apply,neutral,does not apply,neutral,neutral
highly applicable,highly applicable,does not apply,does not apply,neutral
neutral,highly applicable,neutral,neutral,does not apply
highly applicable,highly applicable,highly applicable,neutral,neutral
does not apply,does not apply,does not apply,does not apply,does not apply
does not apply,applicable,neutral,does not apply,neutral
highly applicable,applicable,neutral,does not apply,applicable
does not apply,highly applicable,does not apply,does not apply,neutral
does not apply,highly applicable,neutral,neutral,neutral
neutral,highly applicable,does not apply,neutral,applicable
does not apply,neutral,does not apply,neutral,neutral
neutral,highly applicable,does not apply,neutral,applicable
neutral,neutral,neutral,neutral,applicable
does not apply,highly applicable,neutral,neutral,applicable
