warm,user-intentioned,trustworthy,competent,capable
neutral,highly applicable,does not apply,highly applicable,highly applicable
neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral
highly applicable,highly applicable,highly applicable,highly applicable,highly applicable
neutral,highly applicable,does not apply,highly applicable,
neutral,highly applicable,does not apply,neutral,neutral
highly applicable,neutral,neutral,neutral,highly applicable
highly applicable,highly applicable,does not apply,highly applicable,highly applicable
does not apply,highly applicable,neutral,highly applicable,highly applicable
neutral,neutral,neutral,neutral,neutral
highly applicable,highly applicable,does not apply,highly applicable,highly applicable
does not apply,highly applicable,does not apply,does not apply,highly applicable
highly applicable,highly applicable,does not apply,highly applicable,highly applicable
highly applicable,highly applicable,highly applicable,highly applicable,highly applicable
highly applicable,neutral,highly applicable,highly applicable,highly applicable
highly applicable,highly applicable,highly applicable,highly applicable,highly applicable
neutral,neutral,neutral,neutral,neutral
highly applicable,highly applicable,does not apply,highly applicable,neutral
highly applicable,highly applicable,highly applicable,highly applicable,highly applicable
neutral,neutral,neutral,neutral,neutral
highly applicable,highly applicable,does not apply,does not apply,highly applicable
highly applicable,neutral,does not apply,highly applicable,neutral
highly applicable,highly applicable,highly applicable,highly applicable,highly applicable
highly applicable,neutral,neutral,highly applicable,neutral
highly applicable,highly applicable,does not apply,highly applicable,highly applicable
