warm,user-intentioned,trustworthy,competent,capable
does not apply,neutral,neutral,does not apply,does not apply
does not apply,neutral,does not apply,does not apply,does not apply
neutral,applicable,neutral,does not apply,does not apply
does not apply,applicable,neutral,does not apply,does not apply
neutral,applicable,neutral,does not apply,neutral
does not apply,applicable,neutral,neutral,neutral
neutral,applicable,neutral,does not apply,neutral
neutral,neutral,neutral,neutral,neutral
does not apply,applicable,does not apply,does not apply,neutral
highly applicable,highly applicable,neutral,does not apply,neutral
does not apply,applicable,does not apply,does not apply,neutral
does not apply,applicable,does not apply,neutral,does not apply
does not apply,applicable,does not apply,neutral,does not apply
neutral,neutral,neutral,neutral,neutral
does not apply,neutral,does not apply,neutral,neutral
does not apply,does not apply,does not apply,does not apply,does not apply
neutral,neutral,neutral,neutral,neutral
neutral,highly applicable,neutral,does not apply,highly applicable
neutral,neutral,neutral,does not apply,neutral
neutral,highly applicable,neutral,neutral,neutral
does not apply,does not apply,does not apply,does not apply,does not apply
does not apply,does not apply,does not apply,does not apply,does not apply
neutral,highly applicable,neutral,neutral,does not apply
neutral,highly applicable,neutral,neutral,does not apply
neutral,highly applicable,neutral,neutral,neutral
