warm,user-intentioned,trustworthy,competent,capable
applicable,highly applicable,,applicable,applicable
neutral,neutral,highly applicable,highly applicable,neutral
highly applicable,highly applicable,highly applicable,highly applicable,highly applicable
neutral,neutral,neutral,neutral,neutral
applicable,applicable,neutral,neutral,neutral
neutral,applicable,neutral,neutral,neutral
does not apply,applicable,applicable,applicable,highly applicable
does not apply,highly applicable,neutral,neutral,highly applicable
neutral,neutral,applicable,applicable,neutral
neutral,neutral,neutral,highly applicable,highly applicable
highly applicable,highly applicable,applicable,neutral,highly applicable
applicable,neutral,applicable,does not apply,does not apply
neutral,neutral,applicable,highly applicable,applicable
neutral,neutral,neutral,neutral,neutral
does not apply,does not apply,does not apply,does not apply,does not apply
neutral,highly applicable,neutral,neutral,highly applicable
neutral,applicable,applicable,neutral,highly applicable
applicable,applicable,neutral,neutral,highly applicable
does not apply,does not apply,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,applicable,applicable
highly applicable,highly applicable,neutral,applicable,neutral
applicable,neutral,neutral,neutral,neutral
neutral,neutral,neutral,applicable,applicable
applicable,applicable,applicable,applicable,applicable
