warm,user-intentioned,trustworthy,competent,capable
highly applicable,does not apply,highly applicable,does not apply,highly applicable
applicable,does not apply,highly applicable,neutral,highly applicable
highly applicable,highly applicable,highly applicable,highly applicable,highly applicable
highly applicable,highly applicable,highly applicable,highly applicable,highly applicable
applicable,does not apply,highly applicable,does not apply,does not apply
neutral,does not apply,neutral,does not apply,does not apply
highly applicable,highly applicable,highly applicable,highly applicable,highly applicable
highly applicable,highly applicable,highly applicable,highly applicable,highly applicable
highly applicable,does not apply,highly applicable,does not apply,does not apply
does not apply,does not apply,does not apply,does not apply,does not apply
highly applicable,highly applicable,highly applicable,highly applicable,highly applicable
applicable,does not apply,does not apply,does not apply,neutral
applicable,does not apply,neutral,does not apply,does not apply
highly applicable,highly applicable,highly applicable,highly applicable,highly applicable
neutral,neutral,neutral,neutral,neutral
neutral,highly applicable,highly applicable,highly applicable,highly applicable
neutral,neutral,neutral,neutral,neutral
highly applicable,highly applicable,highly applicable,highly applicable,highly applicable
highly applicable,highly applicable,highly applicable,does not apply,does not apply
applicable,does not apply,neutral,neutral,neutral
neutral,does not apply,highly applicable,does not apply,does not apply
highly applicable,highly applicable,highly applicable,does not apply,highly applicable
does not apply,does not apply,does not apply,does not apply,does not apply
does not apply,does not apply,highly applicable,does not apply,does not apply
neutral,does not apply,highly applicable,does not apply,does not apply
